qid,docno,rank,score_x,query,title,genre,label,
1,35507,24,9.356647859,High school idol,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),"['Slice of Life', 'Psychological', 'Drama', 'School']",1,
1,2495,25,9.157265938,High school idol,Chance Triangle Session,"['Slice of Life', 'Music', 'Drama']",2,
1,19111,26,9.078419773,High school idol,Love Live! School Idol Project 2nd Season,"['Music', 'School', 'Slice of Life']",5,
1,27629,27,8.968158534,High school idol,Tantei Kageki Milky Holmes TD,"['Comedy', 'Mystery', 'Super Power']",2,
1,37308,28,8.924262909,High school idol,K: Seven Stories - The Idol K,"['Music', 'Comedy', 'Parody']",0,
1,31964,29,8.882363162,High school idol,Boku no Hero Academia,"['Action', 'Comedy', 'School', 'Shounen', 'Super Power']",0,
1,37976,30,8.736422315,High school idol,Zombieland Saga,"['Music', 'Comedy', 'Supernatural']",4,
1,22819,31,8.709169027,High school idol,Aikatsu! Movie,"['Slice of Life', 'Music', 'School', 'Shoujo']",4,
1,18095,32,8.707698963,High school idol,Nourin,"['Comedy', 'Parody', 'Romance', 'Ecchi', 'School']",1,
1,28883,33,8.640205804,High school idol,Hidan no Aria AA,"['Action', 'School', 'Shoujo Ai']",0,
1,15061,34,8.623142076,High school idol,Aikatsu!,"['Music', 'School', 'Shoujo', 'Slice of Life']",4,
1,23587,35,8.523469084,High school idol,The iDOLM@STER Cinderella Girls,"['Comedy', 'Drama', 'Music']",2,
1,1390,36,8.346496278,High school idol,Parade Parade,"['Hentai', 'Music', 'Yuri']",2,
1,22215,37,8.294964163,High school idol,Pretty Rhythm: All Star Selection,"['Music', 'Shoujo', 'Sports']",4,
1,12893,38,8.21003626,High school idol,Danshi Koukousei no Nichijou Specials,"['Comedy', 'School', 'Shounen', 'Slice of Life']",0,
1,30251,39,8.16364904,High school idol,Venus Project: Climax,"['Action', 'Music']",2,
1,36828,40,7.964485008,High school idol,Caligula,"['Action', 'Sci-Fi']",1,
1,2465,41,7.953792157,High school idol,Idol Bouei-tai Hummingbird,"['Military', 'Music', 'Comedy', 'Parody']",2,
1,37204,42,7.953792157,High school idol,Aikatsu Friends!,"['Music', 'Slice of Life', 'School', 'Shoujo']",3,
1,2044,43,7.909409562,High school idol,Mahou no Tenshi Creamy Mami,"['Comedy', 'Fantasy', 'Magic', 'Romance', 'School', 'Sci-Fi', 'Shoujo']",2,
1,951,44,7.708691012,High school idol,Chibi Maruko-chan,"['Comedy', 'Slice of Life', 'Shoujo']",0,
1,6149,45,7.708691012,High school idol,Chibi Maruko-chan (1995),"['Comedy', 'Kids', 'School', 'Slice of Life']",0,
1,437,46,7.650261152,High school idol,Perfect Blue,"['Dementia', 'Drama', 'Horror', 'Psychological']",2,
1,7720,47,7.584112211,High school idol,Ookiku Furikabutte: Natsu no Taikai-hen,"['Comedy', 'Seinen', 'Sports']",3,
1,33746,48,7.533606299,High school idol,Anitore! XX: Hitotsu Yane no Shita de,"['Comedy', 'Sports']",2,
1,15611,49,7.529019683,High school idol,Cardfight!! Vanguard: Link Joker-hen,"['Action', 'Adventure', 'Demons', 'Game', 'Shounen']",1,
1,23459,50,7.460941976,High school idol,Sekai Seifuku: Bouryaku no Zvezda - Shin Zvezda Daisakusen,"['Action', 'Comedy', 'Fantasy']",0,
1,2938,51,7.455494663,High school idol,Idol Densetsu Eriko,['Music'],4,
1,31540,52,7.419737778,High school idol,Sekkou Boys,"['Music', 'Comedy']",3,
1,18619,53,7.393833324,High school idol,Girls & Panzer: Kore ga Hontou no Anzio-sen Desu!,"['Military', 'School', 'Sports']",2,
1,863,54,7.393350484,High school idol,Joshikousei: Girl's High,"['Comedy', 'Drama', 'Ecchi', 'School', 'Slice of Life']",1,
1,881,55,7.385984563,High school idol,Green Green OVA,"['Comedy', 'Ecchi', 'Romance', 'School']",0,
1,907,56,7.272798709,High school idol,Princess Princess,"['Comedy', 'School', 'Shoujo']",1,
1,2781,57,7.200977229,High school idol,Saint Luminous Jogakuin,"['Mystery', 'Psychological', 'Supernatural']",0,
1,38098,58,7.195364286,High school idol,Mix,"['Drama', 'Romance', 'School', 'Shounen', 'Sports']",3,
1,694,59,7.188565492,High school idol,Canvas 2: Niji-iro no Sketch,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",1,
1,19251,60,7.18378143,High school idol,Uta no☆Prince-sama♪ Maji Love 2000%: Shining Star Xmas,"['Comedy', 'Harem', 'Music', 'Romance', 'School', 'Shoujo']",4,
1,19363,61,7.161341754,High school idol,Gin no Saji 2nd Season,"['Comedy', 'School', 'Shounen', 'Slice of Life']",1,
1,474,62,7.145573855,High school idol,Macross Plus,"['Drama', 'Mecha', 'Military', 'Romance', 'Sci-Fi', 'Space']",0,
1,10278,63,7.145573855,High school idol,The iDOLM@STER,"['Comedy', 'Drama', 'Music']",5,
1,604,64,7.144036578,High school idol,Mahou no Stage Fancy Lala,"['Music', 'Comedy', 'Drama', 'Magic', 'Romance', 'Shoujo']",3,
1,34281,65,7.126289789,High school idol,High School DxD Hero,"['Action', 'Harem', 'Comedy', 'Demons', 'Romance', 'Ecchi', 'School']",1,
1,37007,66,7.121644444,High school idol,Hinomaruzumou,"['Martial Arts', 'Shounen', 'Sports']",3,
1,24,67,7.091017546,High school idol,School Rumble,"['Comedy', 'Romance', 'School', 'Shounen']",0,
1,32717,68,7.047914546,High school idol,Aikatsu Stars!,"['Music', 'School', 'Shoujo', 'Slice of Life']",4,
1,31091,69,7.03892925,High school idol,Komori-san wa Kotowarenai!,"['Slice of Life', 'Comedy', 'School']",1,
1,8536,70,7.014695689,High school idol,Fortune Arterial: Akai Yakusoku,"['Comedy', 'Romance', 'School', 'Supernatural', 'Vampire']",0,
1,24855,71,6.997328431,High school idol,Girlfriend (Kari),"['School', 'Slice of Life']",0,
1,23151,72,6.989058242,High school idol,Shounen Hollywood: Holly Stage for 49,"['Music', 'Slice of Life', 'Shoujo']",4,
1,31519,73,6.989058242,High school idol,Anitore! EX,"['Comedy', 'Sports']",2,
1,1935,74,6.952888686,High school idol,Megazone 23,"['Action', 'Sci-Fi', 'Music', 'Mystery', 'Romance', 'Mecha']",0,
1,35434,75,6.844627681,High school idol,Konbini Kareshi,"['Slice of Life', 'Romance']",1,
1,714,76,6.844627681,High school idol,High School! Kimengumi,"['Comedy', 'Parody', 'Romance', 'School', 'Shounen']",1,
1,38091,77,6.834125321,High school idol,Hachigatsu no Cinderella Nine (TV),"['School', 'Sports']",3,
1,2422,78,6.834125321,High school idol,Kenritsu Chikyuu Boueigun,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Shounen']",0,
1,18617,79,6.812164215,High school idol,Girls & Panzer Movie,"['Sports', 'Military', 'School']",3,
1,16123,80,6.811929875,High school idol,Saki Zenkoku-hen,"['Game', 'School', 'Slice of Life']",3,
1,1084,81,6.80461278,High school idol,I''s,"['Romance', 'Drama']",1,
1,38619,82,6.764352705,High school idol,Joshikousei no Mudazukai,"['Comedy', 'School']",2,
1,390,83,6.739874817,High school idol,Suzuka,"['Sports', 'Drama', 'Romance', 'Shounen']",3,
1,16317,84,6.737626148,High school idol,Ishida to Asakura,"['Comedy', 'School', 'Seinen']",0,
1,11763,85,6.686964102,High school idol,Sekai de Ichiban Tsuyoku Naritai!,"['Action', 'Ecchi', 'Sports']",3,
1,30300,86,6.664925922,High school idol,"High School DxD New: Oppai, Tsutsumimasu!","['Comedy', 'Demons', 'Ecchi', 'Romance', 'School']",1,
1,1555,87,6.648132462,High school idol,Tokimeki Memorial: Only Love,"['Comedy', 'Harem', 'Romance', 'School']",1,
1,729,88,6.623775993,High school idol,Hiatari Ryoukou!,"['Comedy', 'Romance', 'School', 'Shoujo', 'Sports']",1,
1,470,89,6.588450159,High school idol,Okusama wa Joshikousei (TV),"['Slice of Life', 'Comedy', 'Romance', 'Drama']",0,
1,1842,90,6.586775614,High school idol,Major S3,"['Drama', 'Shounen', 'Sports']",3,
1,20785,91,6.575957092,High school idol,Mahouka Koukou no Rettousei,"['Action', 'Sci-Fi', 'Supernatural', 'Magic', 'Romance', 'School']",3,
1,870,92,6.51792611,High school idol,Dragon Half,"['Comedy', 'Fantasy', 'Parody']",0,
1,30127,93,6.501013253,High school idol,Danchigai,"['Comedy', 'Slice of Life']",1,
1,39570,94,6.484697845,High school idol,High Score Girl II,"['Comedy', 'Game', 'Romance', 'School', 'Seinen']",1,
1,24075,95,6.443965271,High school idol,Persona 4 the Golden Animation,"['Sci-Fi', 'Adventure', 'Mystery', 'Super Power', 'Supernatural', 'School']",2,
1,29163,96,6.432642233,High school idol,Sore ga Seiyuu!,"['Slice of Life', 'Comedy']",4,
1,21773,97,6.42084382,High school idol,Sugar*Soldier,['Shoujo'],0,
1,2983,98,6.42084382,High school idol,Digital Devil Story: Megami Tensei,"['Adventure', 'Mystery', 'Horror', 'Demons', 'Psychological', 'Supernatural', 'Drama', 'Fantasy', 'School']",0,
1,1604,99,6.392855194,High school idol,Katekyo Hitman Reborn!,"['Action', 'Comedy', 'Shounen', 'Super Power']",0,
1,27419,100,6.389164865,High school idol,"Tari Tari: Kumottari, Kagayaitari, Mata Itsuka Utattari","['Slice of Life', 'Music', 'School']",1,
1,6882,101,6.371713368,High school idol,Hatsukoi Limited.: Gentei Shoujo,"['Comedy', 'Ecchi', 'School', 'Shounen']",0,
1,15,102,6.368441472,High school idol,Eyeshield 21,"['Action', 'Sports', 'Comedy', 'Shounen']",2,
1,33948,103,6.358500436,High school idol,Hinako Note,"['Comedy', 'Slice of Life']",0,
1,1400,104,6.357223543,High school idol,Macross 7 Movie: Ginga ga Ore wo Yondeiru!,"['Action', 'Sci-Fi', 'Adventure', 'Music', 'Comedy', 'Drama', 'Mecha', 'Shounen']",0,
1,12123,105,6.340019696,High school idol,Yurumates 3D,"['Slice of Life', 'Comedy', 'Seinen']",0,
1,212,106,6.318853167,High school idol,Project A-Ko,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi', 'Super Power']",2,
1,25857,107,6.305402643,High school idol,PriPara Movie: Mi~nna Atsumare! Prism☆Tours,"['Music', 'Shoujo']",4,
1,471,108,6.284492007,High school idol,To Heart 2,"['Comedy', 'Drama', 'Harem', 'Romance', 'School', 'Slice of Life']",1,
1,174,109,6.282233254,High school idol,Tenjou Tenge,"['Action', 'Ecchi', 'Martial Arts', 'Comedy', 'Super Power', 'School', 'Shounen']",3,
1,646,110,6.278770758,High school idol,Haunted Junction,"['Comedy', 'Supernatural', 'School', 'Shounen']",1,
1,3805,111,6.275781648,High school idol,Kaitou Tenshi Twin Angel,['Magic'],0,
1,11079,112,6.25486645,High school idol,Kill Me Baby,"['Comedy', 'School', 'Seinen']",1,
1,28817,113,6.206341355,High school idol,Mikagura Gakuen Kumikyoku (TV),"['Action', 'Comedy', 'School', 'Shoujo Ai']",2,
1,31178,114,6.204254693,High school idol,Uta no☆Prince-sama♪ Maji Love Legend Star,"['Harem', 'Music', 'Comedy', 'Romance', 'Shoujo']",4,
1,3512,115,6.199359807,High school idol,Tenshi Nanka ja Nai,"['Comedy', 'Drama', 'Shoujo']",1,
1,2489,116,6.196868467,High school idol,Onegai My Melody,"['Comedy', 'Magic', 'Fantasy']",0,
1,36943,117,6.196868467,High school idol,Tachibanakan Triangle,"['Comedy', 'Ecchi', 'Shoujo Ai']",2,
1,691,118,6.192162642,High school idol,Yawara!,"['Action', 'Slice of Life', 'Martial Arts', 'Sports', 'Comedy', 'Romance', 'Drama']",2,
1,2564,119,6.190093982,High school idol,Code-E,"['Comedy', 'Romance', 'School', 'Sci-Fi', 'Slice of Life']",2,
1,10611,120,6.182829916,High school idol,R-15,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'School']",3,
1,11769,121,6.182829916,High school idol,Gokujo.: Gokurakuin Joshikou Ryou Monogatari,"['Comedy', 'Ecchi', 'School', 'Seinen', 'Shoujo Ai']",1,
1,30531,122,6.170704815,High school idol,Gakuen Handsome The Animation,"['Comedy', 'Parody', 'School', 'Shounen Ai']",4,
1,10460,123,6.156603488,High school idol,Kimi to Boku.,"['Comedy', 'Drama', 'Romance', 'School', 'Shounen', 'Slice of Life']",2,
1,38731,124,6.135316382,High school idol,Diamond no Ace: Act II,"['Comedy', 'Sports', 'School', 'Shounen']",3,
1,17082,125,6.135316382,High school idol,Aiura,"['Comedy', 'School', 'Shounen', 'Slice of Life']",2,
1,479,126,6.130703542,High school idol,Ueki no Housoku,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Supernatural', 'Drama', 'Shounen']",1,
1,16732,127,6.121963615,High school idol,Kiniro Mosaic,"['Slice of Life', 'Comedy', 'School', 'Seinen']",1,
1,27989,128,6.115553562,High school idol,Hibike! Euphonium,"['Music', 'School', 'Drama']",5,
1,9587,129,6.092103949,High school idol,Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!,"['Harem', 'Comedy', 'Romance', 'Ecchi']",1,
1,30895,130,6.089356993,High school idol,HaruChika: Haruta to Chika wa Seishun suru,"['Music', 'Slice of Life', 'Mystery', 'Romance', 'School']",3,
1,37450,131,6.067281638,High school idol,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,"['Comedy', 'Romance', 'School', 'Supernatural']",3,
1,3731,132,6.046505386,High school idol,Itazura na Kiss,"['Comedy', 'Romance', 'Shoujo']",1,
1,6164,133,6.045373014,High school idol,Aoi Hana,"['Romance', 'Shoujo Ai', 'Slice of Life']",2,
1,31564,134,6.021770595,High school idol,Sansha Sanyou,"['Slice of Life', 'Comedy', 'School']",2,
1,9288,135,6.005307342,High school idol,Heartcatch Precure! Movie: Hana no Miyako de Fashion Show... Desu ka!?,"['Fantasy', 'Kids', 'Magic', 'Shoujo']",3,
1,15037,136,6.002048177,High school idol,Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,"['Mystery', 'Horror', 'Supernatural']",0,
1,1858,137,5.98561629,High school idol,Gakuen Utopia Manabi Straight!,"['Slice of Life', 'Comedy', 'School']",4,
1,10604,138,5.984931532,High school idol,Hidan no Aria: Butei ga Kitarite Onsen Kenshuu,"['Action', 'Mystery', 'Comedy', 'Romance']",0,
1,18039,139,5.957784432,High school idol,Rescue Me!,"['Ecchi', 'Harem', 'Romance']",0,
1,358,140,5.949707563,High school idol,"Iriya no Sora, UFO no Natsu","['Drama', 'Romance', 'Sci-Fi']",0,
1,13333,141,5.948783564,High school idol,Tari Tari,"['Music', 'Slice of Life', 'School']",3,
1,7054,142,5.938263545,High school idol,Kaichou wa Maid-sama!,"['Comedy', 'Romance', 'School', 'Shoujo']",4,
1,6408,143,5.924881652,High school idol,"""Bungaku Shoujo"" Movie","['Mystery', 'Drama', 'Romance', 'School']",1,
1,24765,144,5.913468401,High school idol,Gakkougurashi!,"['Slice of Life', 'Psychological', 'School', 'Horror', 'Mystery']",1,
1,9988,145,5.90417514,High school idol,Otome wa Boku ni Koishiteru: Futari no Elder The Animation,"['Drama', 'Romance', 'School']",1,
1,6203,146,5.900868449,High school idol,Sasameki Koto,"['Comedy', 'Romance', 'School', 'Shoujo Ai']",1,
1,12281,147,5.900868449,High school idol,Rinne no Lagrange Season 2,"['Action', 'Comedy', 'Mecha', 'Sci-Fi']",1,
1,16592,148,5.896520816,High school idol,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,"['Mystery', 'Psychological', 'School']",2,
1,4550,149,5.87899592,High school idol,Hyakko,"['Comedy', 'School', 'Slice of Life']",2,
