qid,docno,Rank,BM25 score,Title,Genre,label
qid,25517,70,7.0874646,Magic Kaito 1412,,0
qid,2068,71,7.01776822,Sousei Kishi Gaiarth,,1
qid,177,72,6.9790679,Tsubasa Chronicle,,4
qid,17681,73,6.96357961,Zettai Bouei Leviathan,,2
qid,1932,74,6.93984549,Yes! Precure 5,,3
qid,2361,75,6.92484502,Sei Juushi Bismarck,,0
qid,389,76,6.85363624,Karas,,5
qid,16524,77,6.82634403,Suisei no Gargantia,,3
qid,405,78,6.82589482,Blood: The Last Vampire,,5
qid,6747,79,6.7864714,Dance in the Vampire Bund,,5
qid,347,80,6.77977398,Wild Arms: Twilight Venom,,2
qid,1533,81,6.74936017,Ai Tenshi Densetsu Wedding Peach,,5
qid,1448,82,6.73536794,Hyakujuu-Ou GoLion,,0
qid,40228,83,6.72477066,Bananya: Fushigi na Nakama-tachi,,0
qid,4548,84,6.68722745,Yozakura Quartet,,5
qid,38671,85,6.6787038,Enen no Shouboutai,,1
qid,335,86,6.66893238,Matantei Loki Ragnarok,,2
qid,2001,87,6.64335489,Tengen Toppa Gurren Lagann,,0
qid,24439,88,6.64335489,Kekkai Sensen,,5
qid,2053,89,6.59895858,Capricorn,,3
qid,861,90,6.58197188,xxxHOLiC,,3
qid,14407,91,6.56341225,Persona 3 the Movie 1: Spring of Birth,,3
qid,37497,92,6.53441246,Irozuku Sekai no Ashita kara,,1
qid,7711,93,6.46119785,Karigurashi no Arrietty,,5
qid,37992,94,6.4549077,Jingai-san no Yome,,5
qid,11717,95,6.4549077,Hoshi no Kirby: Pilot,,0
qid,32801,96,6.4549077,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,,3
qid,27821,97,6.44963167,Fate/stay night: Unlimited Blade Works Prologue,,0
qid,1276,98,6.44963167,Ys,,5
qid,32792,99,6.44750577,Mobile Suit Gundam Unicorn RE:0096,,3
qid,17080,100,6.43871322,Soukyuu no Fafner: Dead Aggressor - Exodus,,4
qid,9539,101,6.43251478,Cardfight!! Vanguard,,2
qid,1657,102,6.43251478,Byston Well Monogatari: Garzey no Tsubasa,,1
qid,15313,103,6.38598765,Wooser no Sono Higurashi,,1
qid,1952,104,6.36525084,Vampire Hunter,,5
qid,2606,105,6.35805997,Digimon Savers the Movie: Kyuukyoku Power! Burst Mode Hatsudou!!,,5
qid,33531,106,6.34107371,Juushinki Pandora,,2
qid,32664,107,6.32761955,Bananya,,2
qid,523,108,6.32322769,Tonari no Totoro,,3
qid,17651,109,6.31064954,Genei wo Kakeru Taiyou,,3
qid,1325,110,6.27653521,Hamelin no Violin Hiki,,5
qid,2719,111,6.25926577,MapleStory,,5
qid,6008,112,6.23988951,Jewelpet,,3
qid,2795,113,6.21980628,Dragonaut: The Resonance,,4
qid,789,114,6.15480479,Shinigami no Ballad.,,3
qid,29017,115,6.14658217,Wooser no Sono Higurashi: Mugen-hen,,3
qid,1606,116,6.13283674,Kekkaishi (TV),,5
qid,58,117,6.09373081,Blue Gender,,5
qid,1647,118,6.08207389,Kakugo no Susume,,0
qid,690,119,6.07787765,Kyuuketsuhime Miyu (TV),,5
qid,17074,120,6.06054829,Monogatari Series: Second Season,,5
qid,32566,121,6.05158956,Noblesse: Pamyeol-ui Sijak,,5
qid,4415,122,6.05038077,World Destruction: Sekai Bokumetsu no Rokunin,,5
qid,36816,123,6.04835978,Godzilla 2: Kessen Kidou Zoushoku Toshi,,4
qid,6324,124,6.04416576,Omamori Himari,,3
qid,38691,125,6.03935707,Dr. Stone,,0
qid,5712,126,6.03134473,Tanoshii Muumin Ikka Bouken Nikki,,0
qid,98,127,6.03134473,Mai-HiME,,2
qid,1137,128,6.02197415,Mushrambo,,3
qid,33502,129,6.02144021,Shuumatsu Nani Shitemasu ka? Isogashii Desu ka? Sukutte Moratte Ii Desu ka?,,3
qid,32160,130,6.01222947,Precure All Stars Movie: Minna de Utau♪ - Kiseki no Mahou,,3
qid,21407,131,6.01222947,Happiness Charge Precure!,,1
qid,38297,132,6.01054729,"Maou-sama, Retry!",,1
qid,1556,133,5.92533584,Kikoushi Enma,,3
qid,944,134,5.92083814,The Third: Aoi Hitomi no Shoujo,,5
qid,2408,135,5.92034876,Keroro Gunsou Movie 2: Shinkai no Princess de Arimasu!,,3
qid,782,136,5.89197896,Gasaraki,,0
qid,1303,137,5.89193831,The Animatrix,,1
qid,999,138,5.86636882,Blue Seed 2,,4
qid,22359,139,5.86636882,Sanzoku no Musume Ronja,,5
qid,2158,140,5.84686968,Terra e... (TV),,1
qid,1140,141,5.77566816,Giniro no Kami no Agito,,4
qid,35828,142,5.76990306,Miira no Kaikata,,3
qid,2818,143,5.75740381,Madou King Granzort,,3
qid,31339,144,5.75054849,Drifters,,3
qid,37744,145,5.72433803,Isekai Cheat Magician,,3
qid,10379,146,5.71807843,Natsume Yuujinchou San,,3
qid,3086,147,5.71807843,Strait Jacket,,5
qid,1004,148,5.71563674,Kanojo to Kanojo no Neko,,2
qid,2524,149,5.71017781,Jungle de Ikou!,,3
